Codice Regione,Codice Città Metropolitana,Codice Provincia (1),Progressivo del Comune (2),Codice Comune formato alfanumerico,Denominazione in italiano,Denominazione altra lingua,Codice Ripartizione Geografica,Ripartizione geografica,Denominazione regione,Denominazione Città metropolitana,Denominazione provincia,Flag Comune capoluogo di provincia,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 110 province (dal 2010 al 2016),Codice Comune numerico con 107 province (dal 2006 al 2009),Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune,Popolazione legale 2011 (09/10/2011),Codice NUTS1 2010,Codice NUTS2 2010 (3),Codice NUTS3 2010,Codice NUTS1 2006,Codice NUTS2 2006 (3),Codice NUTS3 2006
19,-,081, 001 ,081001,Alcamo,,5,Isole,Sicilia,-,Trapani,0,TP,81001,81001,81001,81001,A176,45.314,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 002 ,081002,Buseto Palizzolo,,5,Isole,Sicilia,-,Trapani,0,TP,81002,81002,81002,81002,B288,3.031,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 003 ,081003,Calatafimi-Segesta,,5,Isole,Sicilia,-,Trapani,0,TP,81003,81003,81003,81003,B385,6.938,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 004 ,081004,Campobello di Mazara,,5,Isole,Sicilia,-,Trapani,0,TP,81004,81004,81004,81004,B521,11.580,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 005 ,081005,Castellammare del Golfo,,5,Isole,Sicilia,-,Trapani,0,TP,81005,81005,81005,81005,C130,14.603,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 006 ,081006,Castelvetrano,,5,Isole,Sicilia,-,Trapani,0,TP,81006,81006,81006,81006,C286,31.824,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 007 ,081007,Custonaci,,5,Isole,Sicilia,-,Trapani,0,TP,81007,81007,81007,81007,D234,5.392,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 008 ,081008,Erice,,5,Isole,Sicilia,-,Trapani,0,TP,81008,81008,81008,81008,D423,28.012,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 009 ,081009,Favignana,,5,Isole,Sicilia,-,Trapani,0,TP,81009,81009,81009,81009,D518,4.185,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 010 ,081010,Gibellina,,5,Isole,Sicilia,-,Trapani,0,TP,81010,81010,81010,81010,E023,4.264,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 011 ,081011,Marsala,,5,Isole,Sicilia,-,Trapani,0,TP,81011,81011,81011,81011,E974,80.218,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 012 ,081012,Mazara del Vallo,,5,Isole,Sicilia,-,Trapani,0,TP,81012,81012,81012,81012,F061,49.995,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 013 ,081013,Paceco,,5,Isole,Sicilia,-,Trapani,0,TP,81013,81013,81013,81013,G208,11.487,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 014 ,081014,Pantelleria,,5,Isole,Sicilia,-,Trapani,0,TP,81014,81014,81014,81014,G315,7.493,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 015 ,081015,Partanna,,5,Isole,Sicilia,-,Trapani,0,TP,81015,81015,81015,81015,G347,10.854,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 016 ,081016,Poggioreale,,5,Isole,Sicilia,-,Trapani,0,TP,81016,81016,81016,81016,G767,1.534,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 017 ,081017,Salaparuta,,5,Isole,Sicilia,-,Trapani,0,TP,81017,81017,81017,81017,H688,1.721,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 018 ,081018,Salemi,,5,Isole,Sicilia,-,Trapani,0,TP,81018,81018,81018,81018,H700,10.871,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 019 ,081019,Santa Ninfa,,5,Isole,Sicilia,-,Trapani,0,TP,81019,81019,81019,81019,I291,5.095,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 020 ,081020,San Vito Lo Capo,,5,Isole,Sicilia,-,Trapani,0,TP,81020,81020,81020,81020,I407,4.415,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 021 ,081021,Trapani,,5,Isole,Sicilia,-,Trapani,1,TP,81021,81021,81021,81021,L331,69.241,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 022 ,081022,Valderice,,5,Isole,Sicilia,-,Trapani,0,TP,81022,81022,81022,81022,G319,11.951,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 023 ,081023,Vita,,5,Isole,Sicilia,-,Trapani,0,TP,81023,81023,81023,81023,M081,2.139,ITG,ITG1,ITG11,ITG,ITG1,ITG11
19,-,081, 024 ,081024,Petrosino,,5,Isole,Sicilia,-,Trapani,0,TP,81024,81024,81024,81024,M281,7.760,ITG,ITG1,ITG11,ITG,ITG1,ITG11
