Denominazione,Cronologia,s_l_m_,Ubicazione,Stato_Cons,Gestore,ico_image,Uso,weblink,Tipologia,note_,longitude,latitude,PRO_COM_T
Forte Gonzaga,1540 ca,160 m,Colle del Tirone o Montepiselli,Buono,Comune di Messina,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/0_z.jpg,Non fruibile,it.wikipedia.org/wiki/Forte_Gonzaga,Fortezza,Il progetto si deve ad A. Ferramolino. Presenta una sagoma bassa a pianta stellata con sei bastioni angolari di forma triangolare.Il perimetro è circondato da fossati. Difendeva la città dagli attacchi di terra.,15.540657190148316,38.18829362567661,83048
Forte Garcia,1567,0 m,Porto di Augusta,Discreto,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/1_z.jpg,Non fruibile,www.augusta-framacamo.net/monumenti-forti.asp,Fortezza,"Realizzato dal vicerè Garcia de Toledo su incarico del re Filippo II, all'interno del golfo di Augusta. Nel 1743 fece parte del lazzaretto di Punta Cugno; nel 1836 fu sanatorio e poi Ospedale Marittimo. Nel '900 è stato deposito della Marina Milita",15.203441074161148,37.23577029120655,89001
Forte Vittoria,1567,0 m,Porto di Augusta,Ottimo,Autorità Portuale di Augusta,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/2_z.jpg,Fruibile,www.augusta-framacamo.net/monumenti-forti.asp,Fortezza,Realizzato dal vicerè Garcia de Toledo su incarico del re Filippo II. Nel 1743 divenne lazzaretto con forno crematoio; nel 1836 fu sanatorio e poi Ospedale Marittimo. Nel 2009 il forte rastaurato è stato riconsegnato alla città.,15.205232036182746,37.23622511589422,89001
Forte di Capo Passero,1603-1607,21 m,Isola di Capo Passero,Ottimo,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/3_z.jpg,Non visitabile,www.icastelli.it/castle-1237841138-fortezza_sullisola_di_capo_passero-it.php,Fortezza,Fu realizzato per volontà del re Filippo II. Restaurato ed inaugurato nel 2009,15.151600403112557,36.68846609891151,89020
Forte di San Giacomo,1500 ca,0 m,Isola di Favignana,Buono,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/4_z.jpg,Ex penitenziario,www.egadivacanze.it/favignana/castelli/il-castello-di-san-giacomo.html,Fortezza,"Fu realizzato per volontà del re Ferdinando II di fortificare l'isola, su un castello abbandonato. Un fossato ne circonda il perimetro e due ponti levatoi lo collegano all'isola.",12.328585041168152,37.92911185011163,81009
Forte di Capo Troia,1600 ca,161 m,Isola di Marettimo,Buono,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/5_z.jpg,Museo delle carceri e Oss. per la Foca Monaca,www.marettimari.it/storia-storie/54-inaugurazione-castello-punta-troia.html,Fortezza,"Fu realizzato sulle fondamenta di una torre di avvistamento, fortificata da Ruggero II ed adibita dagli Spagnoli a bagno penale. Dal 1700 al 1844 fu carcere per prigionieri politici.",12.063779908912212,37.99214685278156,81009
Real Cittadella Spagnola,1679,0 m,Penisola di San Ranieri,Buono,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/6_z.jpg,Visitabile,www.messinafortificata.it/fortificazioni-antiche/real-cittadella/la-real-cittadella.html,Fortezza,Fu progettata da C.de Grunembergh per integrare il sistema difensivo delle altre fortezze spagnole. Dopo il terremoto del 1908 fu in parte rasa al suolo. Pianta pentagonale con bastioni angolari poligonali circondata da un fossato verso terra.,15.56730391626679,38.18831590126344,83048
Forte San Salvatore,1537,0 m,Penisola di San Ranieri,Ottimo,Demanio Militare,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/7_z.jpg,Zona interdetta,www.messinastorica.it/pagina_2.html#ssalvatore,Fortezza,"Realizzato da A. Ferramolino per volere di Carlo V a difesa del porto di Messina, ingloba l'antica torre di Sant'Anna ed il successivo monastero del San Salvatore. E' composto da tozzi bastioni che ospitavano micidiali artiglierie.",15.562859384999651,38.19653064662215,83048
Forte dei Cavalli,1889,345 m ca,Montegallo_Larderia,Ottimo,Associazione Zancle,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/0.jpg,Museo Storico delle Fortificazioni dello Stretto,www.messinafortificata.it/forti-umbertini/cavalli/forte-cavalli.html/www.fortecavalli.it,Batteria da Costa,Difendeva lo Stretto dalle incursioni dallo Ionio. Ha un ingresso centrale a ponte levatoio sul fossato. Era munito di due cannoni e otto piazzole per obice,15.506384865317829,38.13330851364076,83048
Forte Ogliastri,1888,100 m ca,Tremonti Messina,Buono,Coop Scirin-Onlus,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/1.jpg,Eventi socio-culturali,www.messinafortificata.it/forti-umbertini/ogliastri/forte-ogliastri.html,Batteria da Costa Ogliastri,E' la struttura piàù bassa e vicina alla costa (380 m ca).Ha un fossato ed un ingresso a ponte levatoio sulla sinistra. E' munito di sei postazioni per obice,15.557106908536287,38.21150059080557,83048
